Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200168,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200169,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200170,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200171,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200172,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200173,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200174,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200175,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200176,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja office,Hatch Office Desk Informa,GMJ21060003,1,unit,2021-05-28,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja Siswa,Meja Yaris 60x60,SMDGMS1800124,1,unit,2020-12-14,Active,Baik,GMS
Classroom,Room 102,Asset / Capex,PC,PC - Intel Core I3,SMDIPC2100006,1,Set,2018-07-10,Active,Baik,IPC
Classroom,Room 102,Asset / Capex,POINTER,POINTER,SMDGPO2200001,1,unit,2022-06-14,Active,Baik,GPO
Classroom,Room 102,Asset / Capex,POINTER,POINTER,SMDGPO2200002,1,unit,2022-06-14,Active,Baik,GPO
Classroom,Room 102,Asset / Capex,Printer,Printer Epson Inkjet,SMDIPN2000004,1,unit,2020-12-02,Active,Baik,IPN
Classroom,Room 102,Asset / Capex,Projector,Projector Epson,SMDIPJ0000002,1,unit,2020-12-02,Active,Baik,IPJ
Classroom,Room 102,Asset / Capex,Projector Screen,Projector Screen,SMDIPS2000002,1,unit,2020-07-08,Active,Baik,IPS
Classroom,Room 102,Asset / Capex,Rak,Rak 6 Kolom,SMDGRK1800042,1,unit,2020-12-14,Active,Baik,GRK
Classroom,Room 102,Asset / Capex,Rak,Rak Sepatu 3 Pintu,SMDGRK1900001,1,unit,2020-12-14,Active,Baik,GRK
Classroom,Room 102,Asset / Capex,Smartboard Viewsonic,Viewsonic 75' + Floorstanding OXIMUS,IBS25040001,1,unit,2025-03-07,Active,Baik,IBS
Classroom,Room 102,Asset / Capex,Sofa,Sofa Mini Anak ,SMDGSF2400003,1,unit,2024-12-03,Active,Baik,GSF
Classroom,Room 102,Asset / Capex,Softboard,Soft Board 240x120,SMDGSB1800013,1,unit,2020-12-14,Active,Baik,GSB
Classroom,Room 102,Asset / Capex,Softboard,Soft Board 240x120,SMDGSB1800014,1,unit,2020-12-14,Active,Baik,GSB
Classroom,Room 102,Asset / Capex,Softboard,Soft Board 240x120,SMDGSB1800015,1,unit,2020-12-14,Active,Baik,GSB
Classroom,Room 102,Asset / Capex,UKS,Box P3k,SMDGUK1800003,1,unit,2020-12-14,Active,Baik,GUK
Classroom,Room 102,Asset / Capex,UKS,Timbangan Badan,SMDGUK1800009,1,unit,2020-12-14,Active,Baik,GUK
Classroom,Room 102,Asset / Capex,WASTAFEL,Wastafel Toto,SMDGWP1800002,1,unit,2020-12-14,Active,Baik,GWP
Classroom,Room 102,Asset / Capex,WhiteBoard,White Board 120x120,SMDGWB1800005,1,unit,2020-12-14,Active,Baik,GWB
