"Sekolah Citra Kasih, Samarinda",,,,,,,,,,,
Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300030,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300031,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300032,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300033,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300034,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300035,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300036,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300037,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300038,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300039,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300040,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300041,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300042,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300043,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300044,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300045,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300046,1,unit,2023-10-16,Active,Baik,IPC
